Facility Name,Latitude,Longitude,Geometry,Sectors_Industry_Type,Total reported direct emissions
CHRIN BROTHERS LANDFILL,40.66583,-75.22861,"{""type"":""Point"",""coordinates"":[-75.22861,40.66583]}",Waste,74880.25
CHRISTY MINERALS CO-HIGH HILL,38.87947,-91.38786,"{""type"":""Point"",""coordinates"":[-91.38786,38.87947]}",Other,26908.412
CHS INC LAUREL REFINERY,45.65922,-108.76778,"{""type"":""Point"",""coordinates"":[-108.76778,45.65922]}","Chemicals,Petroleum Product Suppliers,Refineries",747231.276
CHS MANKATO,44.1572,-94.0309,"{""type"":""Point"",""coordinates"":[-94.0309,44.1572]}",Other,91073.708
CHS MCPHERSON REFINERY INC.,38.347278,-97.673846,"{""type"":""Point"",""coordinates"":[-97.673846,38.347278]}","Chemicals,Petroleum Product Suppliers,Refineries",942254.112
CHS OILSEED PROCESSING - FAIRMONT,43.66858,-94.50747,"{""type"":""Point"",""coordinates"":[-94.50747,43.66858]}",Other,52186.602
CHS-Rochelle,41.89246,-89.03439,"{""type"":""Point"",""coordinates"":[-89.03439,41.89246]}","Other,Waste",179687.622
CHUGACH - BELUGA RIVER POWER PLANT,61.1853,-151.0366,"{""type"":""Point"",""coordinates"":[-151.0366,61.1853]}",Power Plants,292756.01
CHURCH Compressor Station,41.736895,-75.93104,"{""type"":""Point"",""coordinates"":[-75.93104,41.736895]}",Petroleum and Natural Gas Systems,39539.952
CI Power Cogeneration Plant,34.158675,-118.992159,"{""type"":""Point"",""coordinates"":[-118.992159,34.158675]}",Other,78892.852
CID RECYCLING & DISPOSAL FACILITY,41.6446,-87.574767,"{""type"":""Point"",""coordinates"":[-87.574767,41.6446]}",Waste,15998.016
"CIG Station 5320 Fort Lupton, CO",40.130922,-104.758947,"{""type"":""Point"",""coordinates"":[-104.758947,40.130922]}",Petroleum and Natural Gas Systems,44976.86
"CIG Station 5440 Mocane, OK",36.894684,-100.395611,"{""type"":""Point"",""coordinates"":[-100.395611,36.894684]}",Petroleum and Natural Gas Systems,45696.318
"CIG Station 5560 Kit Carson, CO",38.413345,-102.759485,"{""type"":""Point"",""coordinates"":[-102.759485,38.413345]}",Petroleum and Natural Gas Systems,26740.184
"CIG Station 5610 Greasewood, CO",39.854648,-108.105434,"{""type"":""Point"",""coordinates"":[-108.105434,39.854648]}",Petroleum and Natural Gas Systems,31946.648
"CIG Station 5660 Rawlins, WY",41.698061,-107.053943,"{""type"":""Point"",""coordinates"":[-107.053943,41.698061]}","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",49390.676
"CIG Station 5670 Laramie, WY",41.43896,-105.94412,"{""type"":""Point"",""coordinates"":[-105.94412,41.43896]}",Petroleum and Natural Gas Systems,22785.294
"CIG Station 5680 Wamsutter, WY",41.68028,-107.98588,"{""type"":""Point"",""coordinates"":[-107.98588,41.68028]}",Petroleum and Natural Gas Systems,32994.83
"CIG Station 5690 Muddy Gap, WY",42.3758,-107.4265,"{""type"":""Point"",""coordinates"":[-107.4265,42.3758]}",Petroleum and Natural Gas Systems,7040.478
"CIG Station 5850 Cheyenne, CO",40.908951,-104.892167,"{""type"":""Point"",""coordinates"":[-104.892167,40.908951]}",Petroleum and Natural Gas Systems,83162.04
"CIG Station 5950 Watkins, CO",39.745283,-104.698908,"{""type"":""Point"",""coordinates"":[-104.698908,39.745283]}",Petroleum and Natural Gas Systems,43702.432
CIP II/AR BRIDGEWATER HOLDINGS LLC,40.623139,-74.630139,"{""type"":""Point"",""coordinates"":[-74.630139,40.623139]}",Chemicals,30837.674
CITGO CORPUS CHRISTI REFINERY - WEST PLANT,27.8103,-97.49828,"{""type"":""Point"",""coordinates"":[-97.49828,27.8103]}","Petroleum Product Suppliers,Refineries",390771.57
CITGO CORPUS CHRISTI REFINERY EAST PLANT,27.810556,-97.426944,"{""type"":""Point"",""coordinates"":[-97.426944,27.810556]}","Petroleum Product Suppliers,Refineries",1246648.52
CITGO PETROLEUM CORP - LAKE CHARLES MANUFACTURING COMPLEX,30.182611,-93.322809,"{""type"":""Point"",""coordinates"":[-93.322809,30.182611]}","Petroleum Product Suppliers,Refineries",4723530.944
CITRUS CO CENTRAL LANDFILL,28.851877,-82.436577,"{""type"":""Point"",""coordinates"":[-82.436577,28.851877]}",Waste,91044.5
"CITRUS WORLD, INC.",27.909614,-81.600433,"{""type"":""Point"",""coordinates"":[-81.600433,27.909614]}",Other,57981.532
CITY & COUNTY OF HONOLULU - WAIMANALO GULCH MSWLF,21.344189,-158.117664,"{""type"":""Point"",""coordinates"":[-158.117664,21.344189]}",Waste,64600.75
CITY OF ALBEMARLE LANDFILL,35.35113,-80.19772,"{""type"":""Point"",""coordinates"":[-80.19772,35.35113]}",Waste,33250
CITY OF AMARILLO LANDFILL,35.22846,-102.01925,"{""type"":""Point"",""coordinates"":[-102.01925,35.22846]}",Waste,150148.25
CITY OF BATON ROUGE/EBRP RENEWABLE ENERGY CENTER,30.54942,-91.20539,"{""type"":""Point"",""coordinates"":[-91.20539,30.54942]}",Waste,92395.75
CITY OF BEAUMONT LANDFILL,30.035647,-94.13335,"{""type"":""Point"",""coordinates"":[-94.13335,30.035647]}",Waste,258454.45
CITY OF CHATTANOOGA BIRCHWOOD LANDFILL,35.192631,-85.082397,"{""type"":""Point"",""coordinates"":[-85.082397,35.192631]}",Waste,42736.75
CITY OF CHATTANOOGA SUMMIT LANDFILL,35.052404,-85.090527,"{""type"":""Point"",""coordinates"":[-85.090527,35.052404]}",Waste,98064.5
CITY OF CONWAY LANDFILL & MRF,35.118996,-92.505612,"{""type"":""Point"",""coordinates"":[-92.505612,35.118996]}",Waste,103532.25
CITY OF CORSICANA LANDFILL,32.09338,-96.46648,"{""type"":""Point"",""coordinates"":[-96.46648,32.09338]}",Waste,95174
CITY OF DENTON LANDFILL,33.191973,-97.085008,"{""type"":""Point"",""coordinates"":[-97.085008,33.191973]}",Waste,45429.25
CITY OF EDINBURG LANDFILL,26.398165,-98.129239,"{""type"":""Point"",""coordinates"":[-98.129239,26.398165]}",Waste,98260.75
CITY OF ELKO MUNICIPAL LANDFILL,40.83609,-115.72332,"{""type"":""Point"",""coordinates"":[-115.72332,40.83609]}",Waste,30267.8
CITY OF FARGO LANDFILL,46.8871,-96.8671,"{""type"":""Point"",""coordinates"":[-96.8671,46.8871]}",Waste,128548.5
CITY OF FLAGSTAFF - CINDER LAKE LANDFILL,35.306681,-111.520729,"{""type"":""Point"",""coordinates"":[-111.520729,35.306681]}",Waste,79369.75
CITY OF FORT WORTH SOUTHEAST LANDFILL,32.64826,-97.24075,"{""type"":""Point"",""coordinates"":[-97.24075,32.64826]}",Waste,123237.75
CITY OF GARLAND CASTLE DRIVE LANDFILL,32.933331,-96.583893,"{""type"":""Point"",""coordinates"":[-96.583893,32.933331]}",Waste,101654.75
CITY OF GLENDALE - LANDFILL,33.53922,-112.30265,"{""type"":""Point"",""coordinates"":[-112.30265,33.53922]}",Waste,63303.872
CITY OF GRAND PRAIRIE LANDFILL,32.766437,-96.960108,"{""type"":""Point"",""coordinates"":[-96.960108,32.766437]}",Waste,262814.75
CITY OF GREENSBORO WHITE STREET LANDFILL,36.108333,-79.731466,"{""type"":""Point"",""coordinates"":[-79.731466,36.108333]}",Waste,304489.75
CITY OF LA GRANGE LANDFILL,33.0478,-84.9557,"{""type"":""Point"",""coordinates"":[-84.9557,33.0478]}",Waste,51750
CITY OF LOGAN LANDFILL,41.731597,-111.885778,"{""type"":""Point"",""coordinates"":[-111.885778,41.731597]}",Waste,53422.5
CITY OF LOMPOC SANITARY LANDFILL,34.6254,-120.4831,"{""type"":""Point"",""coordinates"":[-120.4831,34.6254]}",Waste,35581
CITY OF MIDLAND MUNICIPAL SOLID WASTE FACILITY,43.6314,-84.17453,"{""type"":""Point"",""coordinates"":[-84.17453,43.6314]}",Waste,187686.93
CITY OF MOUNTAIN VIEW (SHORELINE LANDFILL),37.43319,-122.08271,"{""type"":""Point"",""coordinates"":[-122.08271,37.43319]}",Waste,19188.882
CITY OF MUSCATINE LANDFILL,41.51737,-90.84307,"{""type"":""Point"",""coordinates"":[-90.84307,41.51737]}",Waste,40957.5
CITY OF PHOENIX - SKUNK CREEK LANDFILL,33.70669,-112.12755,"{""type"":""Point"",""coordinates"":[-112.12755,33.70669]}",Waste,61510.5
CITY OF PHOENIX 27TH AVE LANDFILL,33.41651,-112.12126,"{""type"":""Point"",""coordinates"":[-112.12126,33.41651]}",Waste,48645
CITY OF SNYDER LANDFILL,32.683427,-100.81364,"{""type"":""Point"",""coordinates"":[-100.81364,32.683427]}",Waste,28039
CITY OF TIFTON / OMEGA / ELDORADO ROAD LF,31.35565,-83.535512,"{""type"":""Point"",""coordinates"":[-83.535512,31.35565]}",Waste,47032.25
CITY OF WATSONVILLE LANDFILL,36.91429,-121.82357,"{""type"":""Point"",""coordinates"":[-121.82357,36.91429]}",Waste,23950
CITY SAND & LANDFILL INC,42.110086,-83.494311,"{""type"":""Point"",""coordinates"":[-83.494311,42.110086]}",Waste,14779
CLARIFIER SOLIDS LANDFILL,45.8507,-122.8844,"{""type"":""Point"",""coordinates"":[-122.8844,45.8507]}",Waste,13143
CLARION BOARDS/CLARION PLT,41.233101,-79.41674,"{""type"":""Point"",""coordinates"":[-79.41674,41.233101]}",Other,11934.324
CLARK-FLOYD LANDFILL,38.456911,-85.837787,"{""type"":""Point"",""coordinates"":[-85.837787,38.456911]}",Waste,167028.5
CLEAR AIR FORCE STATION,64.291944,-149.185,"{""type"":""Point"",""coordinates"":[-149.185,64.291944]}",Power Plants,97758.962
CLEAR LAKE PLANT,29.625819,-95.061592,"{""type"":""Point"",""coordinates"":[-95.061592,29.625819]}","Chemicals,Suppliers of CO2",550639.88
CLEARWATER PAPER CORP,46.430759,-116.966243,"{""type"":""Point"",""coordinates"":[-116.966243,46.430759]}","Pulp and Paper,Waste",256814.51
CLEARWATER PAPER CORP-CYPRESS BEND MILL,33.705796,-91.238099,"{""type"":""Point"",""coordinates"":[-91.238099,33.705796]}","Pulp and Paper,Waste",217267.502
CLEBURNE CMP STN,32.2931,-97.5506,"{""type"":""Point"",""coordinates"":[-97.5506,32.2931]}",Petroleum and Natural Gas Systems,29180.466
CLEMSON UNIVERSITY,34.67857,-82.83993,"{""type"":""Point"",""coordinates"":[-82.83993,34.67857]}",Other,24103.706
CLEVELAND COUNTY LANDFILL,35.300926,-81.545135,"{""type"":""Point"",""coordinates"":[-81.545135,35.300926]}",Waste,136612
"CLEVELAND THERMAL, LLC",41.50978,-81.68191,"{""type"":""Point"",""coordinates"":[-81.68191,41.50978]}",Power Plants,141425.904
CLEWISTON SUGAR HOUSE,26.73438,-80.93653,"{""type"":""Point"",""coordinates"":[-80.93653,26.73438]}",Other,37688.308
CLINT LANDFILL,31.60559,-106.18062,"{""type"":""Point"",""coordinates"":[-106.18062,31.60559]}",Waste,169940
CLINTON CNTY SOLID W/WAYNE TWP LDFL,41.16218,-77.34516,"{""type"":""Point"",""coordinates"":[-77.34516,41.16218]}",Waste,58618.45
CLINTON COUNTY LANDFILL,40.325072,-86.558826,"{""type"":""Point"",""coordinates"":[-86.558826,40.325072]}",Waste,141844
CLINTON COUNTY REGIONAL LANDFILL,44.69175,-73.59443,"{""type"":""Point"",""coordinates"":[-73.59443,44.69175]}",Waste,17561.9
CLINTON COUNTY SANITARY LANDFILL (EAST),41.859171,-90.258613,"{""type"":""Point"",""coordinates"":[-90.258613,41.859171]}",Waste,33903.9
CLINTON LANDFILL INC,40.1143,-88.958,"{""type"":""Point"",""coordinates"":[-88.958,40.1143]}",Waste,96538.5
CLOVIS REGIONAL SOLID WASTE FACILITY,34.390327,-103.245506,"{""type"":""Point"",""coordinates"":[-103.245506,34.390327]}",Waste,40097
CMC Steel Arizona,33.2853,-111.5863,"{""type"":""Point"",""coordinates"":[-111.5863,33.2853]}",Metals,37104.988
CMC Steel SC,33.963256,-81.049798,"{""type"":""Point"",""coordinates"":[-81.049798,33.963256]}",Metals,120396.7
COASTAL PLAINS RECYCLING AND DISPOSAL FACILITY,29.40936,-95.19557,"{""type"":""Point"",""coordinates"":[-95.19557,29.40936]}",Waste,90686.25
COFFEE LANDFILL,31.511427,-85.995735,"{""type"":""Point"",""coordinates"":[-85.995735,31.511427]}",Waste,90508
COFFEYVILLE RESOURCES NITROGEN FERT.,37.04536,-95.60517,"{""type"":""Point"",""coordinates"":[-95.60517,37.04536]}","Chemicals,Suppliers of CO2",1798429.14
COFFIN BUTTE LANDFILL,44.6989,-123.2335,"{""type"":""Point"",""coordinates"":[-123.2335,44.6989]}",Waste,29019.75
COLD CANYON LANDFILL SOLID WASTE DS,35.18767,-120.59587,"{""type"":""Point"",""coordinates"":[-120.59587,35.18767]}",Waste,61882.75
COLLUMS LUMBER MILL INCORPORATED,33.020614,-81.313424,"{""type"":""Point"",""coordinates"":[-81.313424,33.020614]}",Other,2586.288
COLONIAL LANDFILL,30.149365,-90.872875,"{""type"":""Point"",""coordinates"":[-90.872875,30.149365]}",Waste,49326.5
COLONIE - TOWN LANDFILL,42.808208,-73.729237,"{""type"":""Point"",""coordinates"":[-73.729237,42.808208]}",Waste,32496.5
COLORADO STATE UNIVERSITY,40.57,-105.09,"{""type"":""Point"",""coordinates"":[-105.09,40.57]}",Other,42745.188
COLSTRIP ENERGY LTD PARTNERSHIP,45.97549,-106.65532,"{""type"":""Point"",""coordinates"":[-106.65532,45.97549]}",Power Plants,476128.724
COLTON SANITARY LANDFILL,34.045505,-117.336573,"{""type"":""Point"",""coordinates"":[-117.336573,34.045505]}",Waste,39001.5
"COLUMBIA FALLS ALUMINUM COMPANY, LLC",48.395833,-114.136111,"{""type"":""Point"",""coordinates"":[-114.136111,48.395833]}","Metals,Waste",3320.65
COLUMBIA GAS CEREDO COMPRESSOR STATION,38.397133,-82.532966,"{""type"":""Point"",""coordinates"":[-82.532966,38.397133]}",Petroleum and Natural Gas Systems,37453.208
COLUMBIA GAS FILES CREEK COMPRESSOR STATION,38.821033,-79.836516,"{""type"":""Point"",""coordinates"":[-79.836516,38.821033]}",Petroleum and Natural Gas Systems,21923.836
COLUMBIA GAS TRANS CORP CRAWFORD COMPRESSOR STATIO,39.63121,-82.55457,"{""type"":""Point"",""coordinates"":[-82.55457,39.63121]}",Petroleum and Natural Gas Systems,18197.17
COLUMBIA GAS TRANS LLC SALISBURY COMP STA,39.724593,-79.008556,"{""type"":""Point"",""coordinates"":[-79.008556,39.724593]}",Petroleum and Natural Gas Systems,38536.084
COLUMBIA GAS TRANSMISSION FRAMETOWN,38.661944,-80.862222,"{""type"":""Point"",""coordinates"":[-80.862222,38.661944]}",Petroleum and Natural Gas Systems,18693.446
COLUMBIA GAS TRANSMISSION LLC WAYNESBURG COMPRESSOR STATION,39.859167,-80.166944,"{""type"":""Point"",""coordinates"":[-80.166944,39.859167]}",Petroleum and Natural Gas Systems,28189.218
COLUMBIA GULF TRANSMISSION CO - DELHI COMPRESSOR STATION,32.409368,-91.487253,"{""type"":""Point"",""coordinates"":[-91.487253,32.409368]}",Petroleum and Natural Gas Systems,20741.734
COLUMBIA GULF TRANSMISSION CO. Clementsville CS,37.312745,-85.058551,"{""type"":""Point"",""coordinates"":[-85.058551,37.312745]}",Petroleum and Natural Gas Systems,40458.27
COLUMBIA GULF TRANSMISSION COMPANY HAMPSHIRE CS,35.643746,-87.261947,"{""type"":""Point"",""coordinates"":[-87.261947,35.643746]}",Petroleum and Natural Gas Systems,38016.472
COLUMBIA GULF TRANSMISSION LLC - RAYNE COMPRESSOR STATION,30.32083,-92.2656,"{""type"":""Point"",""coordinates"":[-92.2656,30.32083]}",Petroleum and Natural Gas Systems,56471.774
COLUMBIA GULF TRANSMISSION LLC HARTSVILLE CS,36.460519,-86.176366,"{""type"":""Point"",""coordinates"":[-86.176366,36.460519]}",Petroleum and Natural Gas Systems,4333.942
COLUMBIA GULF TRANSMISSION LLC STANTON CS,37.89,-83.8625,"{""type"":""Point"",""coordinates"":[-83.8625,37.89]}",Petroleum and Natural Gas Systems,37864.716
"COLUMBIA GULF TRANSMISSION LLC, INVERNESS COMPRESSOR STATION",33.35852,-90.573071,"{""type"":""Point"",""coordinates"":[-90.573071,33.35852]}",Petroleum and Natural Gas Systems,7300.984
"COLUMBIA GULF TRANSMISSION, BANNER COMPRESSOR STATION",34.08551,-89.44656,"{""type"":""Point"",""coordinates"":[-89.44656,34.08551]}",Petroleum and Natural Gas Systems,12044.02
"COLUMBIA GULF TRANSMISSION, CORINTH COMPRESSOR STATION",34.959183,-88.421114,"{""type"":""Point"",""coordinates"":[-88.421114,34.959183]}",Petroleum and Natural Gas Systems,4316.292
COLUMBIA SANITARY LANDFILL,39.013167,-92.256861,"{""type"":""Point"",""coordinates"":[-92.256861,39.013167]}",Waste,47221.554
COLUMBIA UNIVERSITY-410 W 118TH ST,40.807482,-73.958582,"{""type"":""Point"",""coordinates"":[-73.958582,40.807482]}",Other,46840.93
COLUMBIAN CHEMICALS CO,37.54357,-101.19378,"{""type"":""Point"",""coordinates"":[-101.19378,37.54357]}",Chemicals,103469.952
COLUMBIAN CHEMICALS CO - NORTH BEND PLANT,29.682045,-91.456159,"{""type"":""Point"",""coordinates"":[-91.456159,29.682045]}",Chemicals,248079.464
COLUMBUS SCHATULGA ROAD SANITARY LF,32.497472,-84.866462,"{""type"":""Point"",""coordinates"":[-84.866462,32.497472]}",Waste,21833.75
COMM REFUSE SVC INC/CUMBERLAND CNTY LDFL,40.13491,-77.49872,"{""type"":""Point"",""coordinates"":[-77.49872,40.13491]}",Waste,50575.048
COMMERCE REFUSE TO ENERGY FACILITY,33.9949,-118.1539,"{""type"":""Point"",""coordinates"":[-118.1539,33.9949]}",Waste,59940.724
COMMERCIAL BRICK,35.17329,-96.54577,"{""type"":""Point"",""coordinates"":[-96.54577,35.17329]}",Minerals,26787.644
COMMONWEALTH AGRI-ENERGY LLC,36.80903,-87.41288,"{""type"":""Point"",""coordinates"":[-87.41288,36.80903]}",Other,52287.704
CON ED-EAST 60TH STREET STEAM PLANT,40.7586,-73.9592,"{""type"":""Point"",""coordinates"":[-73.9592,40.7586]}",Power Plants,136345.936
CONAGRA FOODS LAMB WESTON,46.651389,-118.871944,"{""type"":""Point"",""coordinates"":[-118.871944,46.651389]}",Other,36801.212
CONAGRA FOODS LAMB WESTON PASCO,46.288137,-119.115336,"{""type"":""Point"",""coordinates"":[-119.115336,46.288137]}",Other,48162.368
CONAGRA FOODS LAMB WESTON RICHLAND,46.315449,-119.300963,"{""type"":""Point"",""coordinates"":[-119.300963,46.315449]}",Other,36252.164
CONCORD TURNPIKE REGIONAL LANDFILL,37.391841,-79.109755,"{""type"":""Point"",""coordinates"":[-79.109755,37.391841]}",Waste,92523.05
CONESTOGA LANDFILL,40.123384,-75.895918,"{""type"":""Point"",""coordinates"":[-75.895918,40.123384]}",Waste,143101.4
CONGRESS DEVELOPMENT CO LANDFILL,41.87027,-87.88804,"{""type"":""Point"",""coordinates"":[-87.88804,41.87027]}",Waste,6459.148
CONROE NATURAL GAS PROCESSING PLANT,30.2791,-95.3658,"{""type"":""Point"",""coordinates"":[-95.3658,30.2791]}",Petroleum and Natural Gas Systems,48157.176
CONSOLIDATE PRECISION PRODUCTS - MINNEAPOLIS OPERATION,44.84614,-93.28603,"{""type"":""Point"",""coordinates"":[-93.28603,44.84614]}",Metals,20736.121
CONSTELLATION POWER SOURCE GENERATION - NOTCH CLIFF,39.4217,-76.5087,"{""type"":""Point"",""coordinates"":[-76.5087,39.4217]}",Power Plants,20827.972
CONTINENTAL CARBON,32.43372,-84.97257,"{""type"":""Point"",""coordinates"":[-84.97257,32.43372]}",Chemicals,178854.672
CONTINENTAL CARBON COMPANY,36.66616,-97.07163,"{""type"":""Point"",""coordinates"":[-97.07163,36.66616]}",Chemicals,212986.032
CONTINENTAL CARBON COMPANY SUNRAY PLANT,35.980941,-101.891253,"{""type"":""Point"",""coordinates"":[-101.891253,35.980941]}",Chemicals,116561.588
CONTINENTAL CEMENT COMPANY LLC,39.67913,-91.31424,"{""type"":""Point"",""coordinates"":[-91.31424,39.67913]}",Minerals,777575.188
CONTINENTAL REFINING COMPANY LLC,37.070656,-84.616671,"{""type"":""Point"",""coordinates"":[-84.616671,37.070656]}","Petroleum Product Suppliers,Refineries",15451.824
"CONTINENTAL TIRE the AMERICAS, LLC",38.29007,-88.89037,"{""type"":""Point"",""coordinates"":[-88.89037,38.29007]}",Other,64579.656
CONTRA COSTA SANITARY LANDFILL,37.9875,-121.8453,"{""type"":""Point"",""coordinates"":[-121.8453,37.9875]}",Waste,17189
COOPER TIRE AND RUBBER CO *,41.02781,-83.65929,"{""type"":""Point"",""coordinates"":[-83.65929,41.02781]}",Other,28317.044
COOPER TIRE COMPANY,33.423167,-94.003778,"{""type"":""Point"",""coordinates"":[-94.003778,33.423167]}",Other,36394.512
"COOPER TIRE COMPANY, THE",34.232361,-88.710611,"{""type"":""Point"",""coordinates"":[-88.710611,34.232361]}",Other,31314.332
COPPER MOUNTAIN LANDFILL,32.649535,-114.039174,"{""type"":""Point"",""coordinates"":[-114.039174,32.649535]}",Waste,119308.25
COPPER VALLEY ELECTRIC ASSOC (CoGen),61.08304,-146.30223,"{""type"":""Point"",""coordinates"":[-146.30223,61.08304]}",Power Plants,19623.956
CORN LP,42.733339,-93.910902,"{""type"":""Point"",""coordinates"":[-93.910902,42.733339]}",Other,87435.42
CORN PLUS,43.763198,-94.151226,"{""type"":""Point"",""coordinates"":[-94.151226,43.763198]}","Other,Suppliers of CO2",67400.096
CORNING DIESEL MANUFACTURING FACILITY,42.11222,-77.15619,"{""type"":""Point"",""coordinates"":[-77.15619,42.11222]}",Minerals,105523.952
CORNING INCORPORATED - BLACKSBURG PLANT,37.17197,-80.42367,"{""type"":""Point"",""coordinates"":[-80.42367,37.17197]}",Minerals,29193.74
"CORONA ENERGY PARTNERS, Ltd",35.44675,-119.08652,"{""type"":""Point"",""coordinates"":[-119.08652,35.44675]}",Power Plants,66790.648
CORRALITOS REGIONAL LANDFILL,32.258796,-107.027915,"{""type"":""Point"",""coordinates"":[-107.027915,32.258796]}",Waste,58980
CORTLAND COUNTY INTERIM II LANDFILL/WEST SIDE EXT,42.629789,-76.071315,"{""type"":""Point"",""coordinates"":[-76.071315,42.629789]}",Waste,37137.1
CORVETTE GAS PROCESSING PLANT,32.4464,-97.6352,"{""type"":""Point"",""coordinates"":[-97.6352,32.4464]}",Petroleum and Natural Gas Systems,65941.456
COSHOCTON LANDFILL INC *,40.223,-81.826,"{""type"":""Point"",""coordinates"":[-81.826,40.223]}",Waste,21178.25
COTTONWOOD HILLS LANDFILL,38.263429,-89.783418,"{""type"":""Point"",""coordinates"":[-89.783418,38.263429]}",Waste,68241.65
COUNTRYMARK REFINING & LOGISTICS LLC,37.925417,-87.904972,"{""type"":""Point"",""coordinates"":[-87.904972,37.925417]}","Petroleum Product Suppliers,Refineries",206634.87
COUNTRYSIDE LANDFILL,42.321899,-88.024902,"{""type"":""Point"",""coordinates"":[-88.024902,42.321899]}",Waste,110197.146
COUNTY ENVIRONMENTAL Landfill OF WYANDOT,40.9107,-83.3288,"{""type"":""Point"",""coordinates"":[-83.3288,40.9107]}",Waste,25232.4
COUNTY LINE LANDFILL,41.166962,-86.2325,"{""type"":""Point"",""coordinates"":[-86.2325,41.166962]}",Waste,76835.998
COUNTYWIDE RECYCLING & DISPOSAL FACILITY,40.666666,-81.423749,"{""type"":""Point"",""coordinates"":[-81.423749,40.666666]}",Waste,83015.9
COURTNEY RIDGE LANDFILL,39.14345,-94.38995,"{""type"":""Point"",""coordinates"":[-94.38995,39.14345]}",Waste,120015.2
"COVANTA ALEXANDRIA/ARLINGTON, INC",38.80137,-77.12859,"{""type"":""Point"",""coordinates"":[-77.12859,38.80137]}",Waste,127284.422
"COVANTA BABYLON, INC.",40.7349,-73.3836,"{""type"":""Point"",""coordinates"":[-73.3836,40.7349]}",Waste,90509.718
"COVANTA BRISTOL, INC",41.64911,-72.91595,"{""type"":""Point"",""coordinates"":[-72.91595,41.64911]}",Waste,94551.544
COVANTA ENERGY,39.7337,-86.1888,"{""type"":""Point"",""coordinates"":[-86.1888,39.7337]}",Waste,357446.962
COVANTA HAVERHILL INC,42.7654,-71.124025,"{""type"":""Point"",""coordinates"":[-71.124025,42.7654]}",Waste,231695.644
COVANTA HEMPSTEAD,40.738356,-73.593495,"{""type"":""Point"",""coordinates"":[-73.593495,40.738356]}",Waste,317063.9
COVANTA HONOLULU RESOURCE RECOVERY VENTURE (H-POWER),21.3042,-158.1078,"{""type"":""Point"",""coordinates"":[-158.1078,21.3042]}",Waste,269209.842
COVANTA HUNTINGTON,40.8817,-73.2899,"{""type"":""Point"",""coordinates"":[-73.2899,40.8817]}",Waste,128405.154
COVANTA LAKE II INC,28.73974,-81.88944,"{""type"":""Point"",""coordinates"":[-81.88944,28.73974]}",Waste,70275.462
"COVANTA MARION, INC",45.04799,-122.9622,"{""type"":""Point"",""coordinates"":[-122.9622,45.04799]}",Waste,78242.896
COVANTA PITTSFIELD LLC,42.468401,-73.194143,"{""type"":""Point"",""coordinates"":[-73.194143,42.468401]}",Waste,26892.7
COVANTA PLYMOUTH RENEWABLE ENERGY LP,40.09584,-75.31056,"{""type"":""Point"",""coordinates"":[-75.31056,40.09584]}",Waste,172473.638
COVANTA RESOURCE RECOVERY FACILITY,41.4401,-72.83471,"{""type"":""Point"",""coordinates"":[-72.83471,41.4401]}",Waste,8282.986
COVANTA SPRINGFIELD LLC,42.090524,-72.590858,"{""type"":""Point"",""coordinates"":[-72.590858,42.090524]}",Waste,26028.15
COVANTA WARREN ENERGY RESOURCE CO,40.8205,-75.0114,"{""type"":""Point"",""coordinates"":[-75.0114,40.8205]}",Waste,70623.034
COVESTRO,39.719477,-80.827317,"{""type"":""Point"",""coordinates"":[-80.827317,39.719477]}",Chemicals,24088.258
COWLITZ COUNTY LANDFILL,46.107229,-122.905601,"{""type"":""Point"",""coordinates"":[-122.905601,46.107229]}",Waste,4532.5
COWTOWN GAS PROCESSING PLANT,32.33384,-97.68122,"{""type"":""Point"",""coordinates"":[-97.68122,32.33384]}",Petroleum and Natural Gas Systems,110900.894
COX CITY GAS PROCESSING PLT,34.795916,-97.799965,"{""type"":""Point"",""coordinates"":[-97.799965,34.795916]}","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",23301.728
COYOTE CANYON SANITARY LANDFILL,33.615,-117.831,"{""type"":""Point"",""coordinates"":[-117.831,33.615]}",Waste,121262.5
"CP KELCO US, INC.-OKMULGEE",35.606278,-96.009861,"{""type"":""Point"",""coordinates"":[-96.009861,35.606278]}",Other,72175.976
CPI USA North Carolina Roxboro,36.435,-78.9619,"{""type"":""Point"",""coordinates"":[-78.9619,36.435]}",Power Plants,206054.98
CPI USA North Carolina Southport,33.9444,-78.0125,"{""type"":""Point"",""coordinates"":[-78.0125,33.9444]}",Power Plants,462904.126
CRAIGHEAD COUNTY SOLID WASTE DISPOSAL,35.71958,-90.684793,"{""type"":""Point"",""coordinates"":[-90.684793,35.71958]}",Waste,87133.75
CRAWFORD COUNTY SANITARY LANDFILL,40.813216,-82.867333,"{""type"":""Point"",""coordinates"":[-82.867333,40.813216]}",Waste,178724.2
CRESCENT ACRES LANDFILL,29.97371,-89.99852,"{""type"":""Point"",""coordinates"":[-89.99852,29.97371]}",Waste,24968.5
CRESTWOOD WEST COAST NORTH COLES LEVEE GAS PLANT,35.277731,-119.323847,"{""type"":""Point"",""coordinates"":[-119.323847,35.277731]}","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",28911.924
