Facility Name,Latitude,Longitude,Geometry,Sectors_Industry_Type,Total reported direct emissions
ABSOLUTE ENERGY LLC,43.49951,-92.91709,"{""type"":""Point"",""coordinates"":[-92.91709,43.49951]}","Other,Waste",178561.368
ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,30.256038,-92.532637,"{""type"":""Point"",""coordinates"":[-92.532637,30.256038]}",Waste,51686.5
ACE ETHANOL LLC,44.9589,-90.9608,"{""type"":""Point"",""coordinates"":[-90.9608,44.9589]}","Other,Suppliers of CO2",73115.024
AC 857 A,26.29555555,-94.89777777,"{""type"":""Point"",""coordinates"":[-94.89777777,26.29555555]}",Petroleum and Natural Gas Systems,275627.372
ACME BRICK CO ELGIN PLANT,30.32903,-97.29207,"{""type"":""Point"",""coordinates"":[-97.29207,30.32903]}",Minerals,58615.68
ACME GYPSUM FACILITY,34.323944,-99.818194,"{""type"":""Point"",""coordinates"":[-99.818194,34.323944]}",Minerals,35616.516
ADA COGENERATION,42.955455,-85.479053,"{""type"":""Point"",""coordinates"":[-85.479053,42.955455]}",Power Plants,94984.492
"ADA Carbon Solutions (Red River), LLC",32.005405,-93.387829,"{""type"":""Point"",""coordinates"":[-93.387829,32.005405]}",Chemicals,188762.668
ADKINS ENERGY LLC,42.358605,-89.80342,"{""type"":""Point"",""coordinates"":[-89.80342,42.358605]}",Other,76422.312
ADM - MANKATO,44.186805,-93.995493,"{""type"":""Point"",""coordinates"":[-93.995493,44.186805]}",Other,143286.47
ADM CORN PROCESSING,41.928594,-91.687203,"{""type"":""Point"",""coordinates"":[-91.687203,41.928594]}","Other,Waste",3048420.424
ADM CORN PROCESSING,41.818117,-90.214731,"{""type"":""Point"",""coordinates"":[-90.214731,41.818117]}","Other,Waste",2151829.934
ADM Deerfield,37.80725,-94.585301,"{""type"":""Point"",""coordinates"":[-94.585301,37.80725]}",Other,34167.172
ADM Fostoria,41.1494,-83.43295,"{""type"":""Point"",""coordinates"":[-83.43295,41.1494]}",Other,26753.8
ADM MILLING COMPANY,41.626329,-93.583205,"{""type"":""Point"",""coordinates"":[-93.583205,41.626329]}",Other,144115.254
ADM QUINCY,39.90565,91.41015,"{""type"":""Point"",""coordinates"":[91.41015,39.90565]}",Other,195047.938
